,screen_name,OrientationPol
0,mlp_officiel,ED
1,marionmarechal,ED
2,f_philippot,ED
3,gilbertcollard,ED
4,rnational_off,ED
5,lepenjm,ED
6,stephane_ravier,ED
7,nicolasbay_,ED
8,louis_aliot,ED
9,ouchikhkarim,ED
10,david_rachline,ED
11,steevebriois,ED
12,brunogollnisch,ED
13,p_vardon,ED
14,jsanchez_rn,ED
15,pmcouteaux,ED
16,jeunesmarine_,ED
17,a_chauprade,ED
18,wdesaintjust,ED
19,gilles_lebreton,ED
20,sergeayoub,ED
21,bernard_monot,ED
22,les_ids,ED
23,mcarnautu,ED
24,frklabaule,ED
25,yvan_benedetti,ED
26,jacquesbompard,ED
27,partisansmarine,ED
28,fabienengelmann,ED
29,boccaletti83,ED
30,gabriac,ED
31,joellemelinrn,ED
32,yahiagouasmi,ED
33,francejamet,ED
34,sylvie_goddyn,ED
35,rn_gard,ED
36,pierrecheynet,ED
37,gauthierbouchet,ED
38,chboudot,ED
39,rn69_officiel,ED
40,fgrolet,ED
41,jmverani,ED
42,gaelnofri,ED
43,asso_racine,ED
44,jclblanchard,ED
45,audrey_guibert,ED
46,tollari_siel94,ED
47,damienobrador,ED
48,jcolombierrn,ED
49,12rassnational,ED
50,chbouchet,ED
51,gonzagmalherbe,ED
52,rnational44,ED
53,paulalexandre_m,ED
54,aureliabeigneux,ED
55,lilian7130,ED
56,rnational91,ED
57,adriengrosjean,ED
58,rn_nord59,ED
59,dnationales40,ED
60,rn_loiretcher,ED
61,rnunazairienne,ED
62,estellernl_,ED
63,rnational_971,ED
64,lbricehenin,ED
65,fcoolzaet,ED
66,arno_humbert,ED
67,andegavis,ED
68,rn07_officiel,ED
69,rnational_76,ED
70,fatimaallaoui,ED
71,nicolasboher,ED
72,stephane_durbec,ED
73,francoisvial,ED
74,tofinou92,ED
75,pylonel,ED
76,sdurancois,ED
77,brigittedupin,ED
78,jlmelenchon,G
79,fhollande,G
80,anne_hidalgo,G
81,manuelvalls,G
82,najatvb,G
83,benoithamon,G
84,royalsegolene,G
85,fleurpellerin,G
86,montebourg,G
87,olivierveran,G
88,ccastaner,G
89,jeanmarcayrault,G
90,bgriveaux,G
91,partisocialiste,G
92,bcazeneuve,G
93,edgarmorinparis,G
94,pierremoscovici,G
95,aurelifil,G
96,axellelemaire,G
97,jy_ledrian,G
98,martineaubry,G
99,marisoltouraine,G
100,gerardcollomb,G
101,slefoll,G
102,alexiscorbiere,G
103,gacciob,G
104,richardferrand,G
105,claudebartolone,G
106,ericcoquerel,G
107,carolinedehaas,G
108,harlemdesir,G
109,ianbrossat,G
110,delphinebatho,G
111,raquelgarridofr,G
112,faureolivier,G
113,chevenement,G
114,mbompard,G
115,pcf,G
116,frebsamen,G
117,jccambadelis,G
118,johanna_rolland,G
119,jeanlucromero,G
120,lepg,G
121,caroledelga,G
122,gerardfiloche,G
123,larrouturou,G
124,simonnet2,G
125,brunojulliard,G
126,lachaudb,G
127,laurossignol,G
128,plaurent_pcf,G
129,olivierdussopt,G
130,socialistesan,G
131,micheledelaunay,G
132,juliendray,G
133,mlebranchu,G
134,patrickkanner,G
135,jjurvoas,G
136,benoitpayan,G
137,dassouline,G
138,jpmignard,G
139,victorinlurel,G
140,al_rousset,G
141,leilachaibi,G
142,dbertinotti,G
143,mnlienemann,G
144,dguillaume26,G
145,vfourneyron,G
146,cgirard,G
147,rhammadi,G
148,younousomarjee,G
149,brigbourguignon,G
150,lgrandguillaume,G
151,jeromeguedj,G
152,th_braillard,G
153,nouvelle_donne,G
154,emmanuelmaurel,G
155,guillaumegarot,G
156,remiferaud,G
157,cmoreldarleux,G
158,valerie_rabault,G
159,nathalieappere,G
160,samiaghali,G
161,sttravert,G
162,matthiasfekl,G
163,senateursps,G
164,avidalies,G
165,jeanlouisbianco,G
166,s_mazetier,G
167,fcuvillier,G
168,nadiapellefigue,G
169,christianpaul58,G
170,martinebillard,G
171,mandonthierry,G
172,cbrossel,G
173,damiencareme,G
174,macarlotti,G
175,luccarvounas,G
176,vincentfeltesse,G
177,juanico,G
178,yaminabenguigui,G
179,balasguillaume,G
180,loigcg,G
181,andrechassaigne,G
182,jmgermain,G
183,ldeniaud,G
184,pterrasse,G
185,nicolasmayernmr,G
186,mpdelagontrie,G
187,patricklehyaric,G
188,pascaleboistard,G
189,ebareigts,G
190,yanngalut,G
191,pbloche,G
192,mathieuhanotin,G
193,deputespcf,G
194,patrickmennucci,G
195,pascalcherki,G
196,pierre_ka,G
197,jerome_coumet,G
198,ebothorel,G
199,pkomites,G
200,algrain_paris10,G
201,ar_leroy,G
202,jp_sueur,G
203,alexisbachelay,G
204,ericlejoindre,G
205,safiaotokore,G
206,rihan_cypel,G
207,achristine_lang,G
208,oliviapolski,G
209,carine_petit,G
210,lucbroussy,G
211,moniqueiborra,G
212,bonnaterrel,G
213,ma_jamet,G
214,mansat,G
215,glechequer,G
216,gcaronthibault,G
217,aymericseassau,G
218,michele_sabban,G
219,mauricevincent_,G
220,martinemartinel,G
221,etiennepourcher,G
222,xaviergolczyk,G
223,luttopie,G
224,ynadesan,G
225,boudaud2020,G
226,yalaouimehdi1,G
227,philblet,G
228,locchabrier,G
229,celinedeslattes,G
230,rmaximilien,G
231,emmanuelmacron,C
232,chtaubira,C
233,bayrou,C
234,jlborloo,C
235,jclagarde,C
236,herve_morin,C
237,jeanlassalle,C
238,modem,C
239,villepin,C
240,ramayade,C
241,lydiaguirous,C
242,yvespdb,C
243,chantal_jouanno,C
244,sandrafellous_,C
245,yvesjego,C
246,gdarrieussecq,C
247,annickgirardin,C
248,arnaudmercier,C
249,udi_off,C
250,sylvainmaillard,C
251,loichervepublic,C
252,jeanleonetti,C
253,damienabad,C
254,jeanarthuis,C
255,sylviapinel,C
256,senateur61,C
257,goulardsylvie,C
258,mfesneau,C
259,meyer_habib,C
260,aurelien_veron,C
261,loicdombreval,C
262,phpejo,C
263,alainlambert,C
264,avyelimas,C
265,joelgiraud05,C
266,mr_matth,C
267,jeanmariecavada,C
268,chrissaintetien,C
269,jfmartins,C
270,grebert,C
271,sauvadet,C
272,vigierphilippe,C
273,dominiquepaille,C
274,udijeunes,C
275,sophie_auconie,C
276,c_decourson,C
277,jlbennahmias,C
278,uc_senat,C
279,c_morindesailly,C
280,micheldantin,C
281,mauriceleroy,C
282,asantini_issy,C
283,partiradicalg,C
284,fleturque,C
285,bertrandpancher,C
286,yannwehrling,C
287,lacroix_prg,C
288,nat_griesbeck,C
289,rudysalles,C
290,grudlerch,C
291,jeanpierregrand,C
292,fabienrobert,C
293,pgiacobbi,C
294,sgoychavent,C
295,olivierrichefou,C
296,teamplanete,C
297,lescentristes_,C
298,vdbeaufort,C
299,jeandionis,C
300,j_democrates,C
301,jpdugoinclement,C
302,jjbolzan,C
303,dominiqueriquet,C
304,denisjacquet,C
305,opasselecq,C
306,oliviercadic,C
307,stephanegemmani,C
308,ch_bouchet,C
309,azouzbegag,C
310,paugier,C
311,erwanbalanant,C
312,carolinefel,C
313,annelebreton,C
314,philippefolliot,C
315,nkoenders,C
316,e_doineau,C
317,inspironsnous,C
318,l_lafon,C
319,jamescheron,C
320,valerieletard,C
321,ftatti,C
322,lecadaniel,C
323,jeanspiri,C
324,cmadrolle,C
325,bockeljeanmarie,C
326,fdecoster,C
327,michelpiron,C
328,mariorossireims,C
329,jc_picard,C
330,jackymajda,C
331,jldupont14,C
332,nassimahdindar,C
333,michelzumkeller,C
334,jkrabal,C
335,pascalcoste,C
336,hmaurey,C
337,modemessonne,C
338,valerienahmias,C
339,joel_guerriau,C
340,laudegallaix,C
341,maudgatel,C
342,erichelard,C
343,lebasnicolas,C
344,v_delahaye,C
345,phbolo,C
346,lefret,C
347,olivierjarde,C
348,olga_johnson,C
349,daniellejuban,C
350,lecentreavecem,C
351,jfvigier,C
352,ncolin_oesterle,C
353,jeunesradicauxg,C
354,n_kechichian,C
355,daniele_noel,C
356,julienjanvier,C
357,jdem91,C
358,jeromeneveux86,C
359,jdemparis,C
360,davidguillerm,C
361,garelvincent81,C
362,fmoulin_emparis,C
363,marienlovichi,C
364,oanthore,C
365,centristes76,C
366,modemgironde,C
367,xavierjaglin,C
368,nicolassarkozy,D
369,ephilippe_lh,D
370,lagarde,D
371,francoisfillon,D
372,brunolemaire,D
373,vpecresse,D
374,jeancastex,D
375,laurentwauquiez,D
376,jf_cope,D
377,lesrepublicains,D
378,gdarmanin,D
379,dupontaignan,D
380,nadine__morano,D
381,michelbarnier,D
382,eciotti,D
383,xavierbertrand,D
384,cestrosi,D
385,jpraffarin,D
386,datirachida,D
387,r_bachelot,D
388,phdevilliers,D
389,upr_asselineau,D
390,valerieboyer13,D
391,christineboutin,D
392,fxbellamy,D
393,brunoretailleau,D
394,thierrymariani,D
395,davidlisnard,D
396,g_peltier,D
397,franckriester,D
398,jfpoisson78,D
399,alainhoupert,D
400,gerard_larcher,D
401,ericwoerth,D
402,rkaroutchi,D
403,benoistapparu,D
404,lucchatel,D
405,jblemoyne,D
406,sniperfrance,D
407,flefebvre_rf,D
408,fabienne_keller,D
409,renaudmuselier,D
410,philippejuvin,D
411,julienaubert84,D
412,arnaudrobinet,D
413,geoffroydidier,D
414,glarrive,D
415,dlf_officiel,D
416,ibalkany,D
417,jeromechartier,D
418,lesrep_senat,D
419,agnesevren,D
420,maximethiebaut,D
421,debordvalerie,D
422,jeanrottner,D
423,bernardaccoyer,D
424,deputetardy,D
425,jlmoudenc,D
426,dbussereau,D
427,solere92,D
428,pybournazel,D
429,uboliver,D
430,jeunesreps,D
431,lionnelluca06,D
432,lsailliet,D
433,basphilippe,D
434,karlolive,D
435,martinevassal,D
436,lauredlr,D
437,dfasquelle,D
438,franck_louvrier,D
439,cbeigbeder,D
440,hervemariton,D
441,arnauddanjean,D
442,sebastienhuyghe,D
443,flavienneuvy,D
444,cavautrin,D
445,jcfromantin,D
446,dubymuller,D
447,philippe_goujon,D
448,geoffroyboulard,D
449,senateurjgm,D
450,jp_lecoq,D
451,phgosselin,D
452,jpgarraud,D
453,lgarnier44,D
454,jf_lamour,D
455,lellouchepierre,D
456,brigitte_kuster,D
457,ronanloas,D
458,marclefur,D
459,nicolasflorian_,D
460,mamontchamp,D
461,dburkli,D
462,vincentjeanbrun,D
463,marinebrenier,D
464,via_officiel,D
465,hnovelli,D
466,patrick_ollier,D
467,larribage,D
468,constancelegrip,D
469,carolinecayeux,D
470,georgesfenech,D
471,gilaverous,D
472,alaincadec,D
473,fredvalletoux,D
474,dominiq_estrosi,D
475,hubertfalco,D
476,sophieprimas,D
477,beaudetstephane,D
478,idf_rassemblee,D
479,lmarcangeli,D
480,marielaureharel,D
481,gpechangerparis,D
482,ca_ginesy,D
483,berranora,D
484,karampatrick,D
485,roxanedecorte,D
486,daubresse_mp,D
487,guyteissier,D
488,bretonxavier,D
489,philippedallier,D
490,bernardcarayon,D
491,le65avecsarkozy,D
492,vlacroute,D
493,aguilera_fred,D
494,jdberthault,D
495,c_atlan_tapiero,D
496,xavierfournier,D
497,jc_mignon77,D
498,julienplantier,D
499,jeunesreps33,D
500,95dlf,D
501,thierry_legac,D
502,jeunesreps39,D
503,n_guillerme,D
504,potielussigny,D
505,danielwappler,D
506,philippepoutou,EG
507,clem_autain,EG
508,olbesancenot,EG
509,lutteouvriere,EG
510,patrice_leclerc,EG
511,celinemalaise,EG
512,armandcreus,EG
513,vincent_boulet,EG
514,navidhussain,EG
515,jceyr,EG
516,npapoitiers,EG
517,npa36,EG
